Age,Gender,Department,YearsAtCompany,WorkHoursPerWeek,RemoteWork,BurnoutLevel,JobSatisfaction,StressLevel,ProductivityScore,SleepHours,PhysicalActivityHrs,CommuteTime,HasMentalHealthSupport,ManagerSupportScore,HasTherapyAccess,MentalHealthDaysOff,SalaryRange,WorkLifeBalanceScore,TeamSize,CareerGrowthScore,BurnoutRisk
31,2,2,17,31,1,7.4,3.46,3.23,9.48,7.7,1.7,60,1,2.52,0,5,4,7.6,1,4.91,1
24,0,1,16,54,2,2.33,3.55,8.43,5.39,6.0,3.8,82,0,6.22,0,4,4,9.77,9,3.62,0
39,2,4,1,44,1,5.1,6.89,3.81,2.04,6.9,0.7,117,0,4.36,1,9,2,1.4,36,2.99,0
57,3,1,6,59,0,1.35,8.85,3.43,5.37,5.5,7.2,78,0,5.16,0,0,4,4.43,16,4.16,0
43,3,3,6,55,2,1.16,9.73,9.11,1.98,5.2,1.5,108,1,2.76,0,9,0,2.43,15,6.42,0
55,3,1,9,48,1,4.96,4.07,1.43,8.95,5.6,2.9,70,1,7.91,0,9,0,1.33,10,6.84,0
29,0,4,20,44,0,3.28,8.17,6.95,7.37,8.1,8.8,42,1,3.83,1,1,1,3.38,37,3.68,0
40,2,5,2,55,1,7.15,8.66,1.39,3.17,6.1,5.4,103,1,4.08,1,4,2,3.2,16,9.53,1
58,2,3,11,49,2,7.52,6.61,8.21,8.98,5.6,3.2,115,1,3.27,0,5,3,4.78,38,3.36,1
27,3,1,2,39,0,9.06,4.13,8.46,6.74,6.2,5.5,79,1,4.91,0,0,4,2.26,48,7.41,1
47,2,5,10,57,1,7.85,6.57,9.04,9.58,4.2,2.2,87,0,5.17,1,6,3,5.4,36,1.73,1
55,1,4,11,53,2,1.43,6.26,2.67,9.82,8.5,0.3,86,1,5.77,0,2,4,9.28,15,6.98,0
27,1,5,3,49,2,4.34,6.46,2.12,1.03,6.8,6.0,10,0,9.71,0,0,2,7.73,3,5.14,0
58,1,5,15,40,1,3.46,6.57,5.53,2.08,4.5,7.1,87,0,9.14,1,6,2,8.58,19,6.12,0
54,2,3,19,55,2,4.48,8.62,3.44,5.92,5.4,8.8,4,0,6.48,1,6,0,8.24,41,2.66,0
43,0,2,17,39,0,2.44,2.53,6.46,9.6,8.9,7.7,57,1,1.35,1,9,2,4.51,37,4.9,0
42,0,2,3,58,2,1.88,4.31,5.62,9.95,7.0,9.3,38,0,6.51,0,2,3,7.38,48,7.9,0
27,0,3,5,52,1,5.69,6.27,2.3,6.11,5.5,9.9,47,0,1.81,0,5,3,7.79,3,7.9,0
27,0,5,20,34,0,7.48,3.55,7.65,2.56,6.1,7.4,93,1,7.39,1,3,2,2.85,8,3.14,1
25,1,1,14,38,2,7.32,9.8,8.23,2.47,5.3,8.7,79,1,4.51,0,3,3,8.74,24,4.17,1
51,1,3,0,49,2,5.06,3.37,9.67,7.87,4.2,6.7,19,0,8.54,0,8,4,5.12,14,1.03,0
32,3,3,2,48,0,5.7,5.23,4.56,6.33,8.2,1.7,92,1,9.48,0,6,1,1.15,35,1.81,0
51,2,3,4,42,0,5.65,8.9,4.04,5.94,5.5,1.8,80,1,4.75,0,5,0,6.79,16,2.14,0
52,2,1,16,47,2,7.22,1.72,2.73,5.19,8.2,1.1,18,0,5.14,1,8,1,7.09,7,3.64,1
45,0,4,13,46,0,1.43,8.39,2.63,7.53,6.4,9.4,59,0,6.31,0,2,3,5.97,41,7.83,0
30,1,1,8,56,1,7.39,6.14,3.89,8.72,4.9,6.7,25,0,2.77,1,3,0,2.91,35,5.59,1
24,0,0,2,35,2,6.24,1.29,9.84,3.73,8.0,7.9,78,0,9.35,0,8,1,5.34,8,8.13,0
52,3,2,12,39,1,2.78,9.13,1.83,2.99,5.9,3.3,24,0,4.9,1,3,1,4.6,12,7.79,0
58,2,3,2,31,2,1.44,1.35,3.33,7.03,7.5,4.6,14,0,2.5,1,6,3,9.77,49,6.28,0
57,2,4,10,53,1,1.98,5.64,1.77,9.23,8.2,0.4,83,0,7.86,0,8,0,8.42,46,5.5,0
45,0,4,1,35,1,5.72,1.44,3.46,4.13,8.8,8.9,93,0,2.97,1,3,0,7.86,16,9.38,0
52,3,1,14,57,0,7.83,1.64,1.83,3.45,4.4,8.5,20,1,2.29,0,8,1,2.63,4,6.12,1
27,2,4,12,57,2,4.01,8.98,5.57,3.04,4.0,7.8,46,1,6.07,0,6,0,3.98,35,5.35,0
23,3,4,18,50,0,4.41,7.89,4.95,3.29,6.7,0.6,34,1,7.04,1,3,0,4.42,45,8.82,0
41,3,5,15,42,0,9.41,2.77,2.57,2.21,5.3,1.7,43,1,6.13,1,2,4,5.43,41,1.64,1
49,0,5,17,47,2,2.92,6.58,2.57,6.37,6.3,3.3,5,1,6.91,1,5,3,1.27,45,6.9,0
32,1,3,6,36,1,1.93,8.15,6.63,3.53,4.4,2.6,115,0,2.04,1,2,3,6.34,32,2.02,0
25,0,3,12,31,2,4.09,9.01,4.48,6.53,6.5,8.4,100,1,5.28,0,6,4,4.22,12,8.38,0
36,1,4,3,58,2,7.71,5.21,1.51,1.75,4.6,1.9,74,1,4.21,0,0,1,6.06,21,8.13,1
27,3,0,8,43,2,6.63,9.08,9.28,2.04,8.2,5.3,22,0,9.76,1,6,2,1.08,15,5.53,0
51,1,3,9,34,0,4.74,5.57,4.64,5.83,7.8,5.7,107,1,1.45,1,2,1,3.89,35,6.95,0
59,3,5,8,47,2,9.68,7.19,6.32,5.6,4.4,4.3,38,0,3.68,1,8,4,7.92,3,7.95,1
23,2,2,6,40,2,7.61,9.81,8.97,3.44,8.2,2.4,72,1,9.48,0,5,0,5.51,2,5.35,1
36,2,1,14,39,2,1.56,3.12,4.62,8.44,5.6,9.6,17,1,9.85,1,6,4,8.1,6,9.15,0
32,2,0,7,40,1,7.7,2.52,8.39,2.68,5.8,4.1,109,0,8.42,0,8,3,7.29,16,4.93,1
29,0,3,18,56,1,1.22,4.08,9.23,4.25,4.9,7.3,99,1,1.68,0,5,0,8.69,23,9.03,0
47,0,5,10,31,1,6.85,2.48,2.57,6.0,8.2,1.8,39,1,6.05,1,9,1,1.07,31,6.24,0
26,3,2,4,44,1,2.89,3.56,9.03,8.8,6.0,8.2,111,1,4.6,0,1,0,3.35,41,4.84,0
27,2,1,1,36,0,7.27,7.69,2.08,4.77,4.2,2.2,35,0,8.26,0,5,3,5.94,30,1.04,1
47,0,1,9,38,0,3.79,5.3,3.48,4.59,8.8,6.8,27,0,1.5,0,5,4,9.47,3,3.66,0
25,2,5,15,34,2,8.86,4.38,8.27,6.22,5.3,5.1,63,0,2.77,1,1,1,7.12,16,8.81,1
40,0,3,12,36,0,4.03,4.32,9.11,3.85,8.7,1.5,82,0,5.4,1,6,2,5.11,4,4.86,0
41,1,1,7,49,1,6.58,2.75,7.16,7.38,5.5,0.2,93,0,2.42,0,8,2,2.17,46,4.79,0
54,1,2,8,31,2,3.57,5.03,1.94,3.24,8.2,9.3,57,1,7.23,1,9,4,5.44,36,5.4,0
41,2,0,10,32,2,9.25,6.62,5.71,8.41,7.3,1.3,37,1,8.39,0,3,1,4.97,28,3.58,1
33,3,0,10,31,1,8.03,2.25,6.15,3.45,8.3,7.0,114,0,7.34,1,4,1,8.01,28,5.42,1
22,0,0,15,50,1,3.19,9.76,3.54,9.93,8.9,6.5,78,0,4.96,0,5,0,4.72,3,4.38,0
47,0,0,9,51,1,9.54,4.99,9.92,3.85,8.4,3.4,43,1,8.91,1,0,4,3.87,26,9.18,1
35,1,3,11,52,0,4.21,9.53,4.02,8.91,6.0,1.9,75,0,2.24,1,7,0,1.81,39,6.08,0
59,1,5,5,48,2,6.87,2.21,2.89,4.58,8.1,1.8,1,1,3.34,0,8,4,1.42,13,8.51,0
58,3,5,11,33,1,7.69,7.9,1.99,3.21,7.6,5.9,72,0,5.41,1,0,3,4.95,7,7.18,1
32,3,2,9,53,2,1.21,6.56,4.41,3.04,4.3,5.5,34,0,1.55,0,3,4,4.12,13,2.91,0
57,3,5,17,49,2,9.63,8.38,7.23,8.65,8.6,8.8,0,1,1.86,1,5,0,6.0,4,8.81,1
34,2,4,17,36,0,4.1,6.41,3.08,3.78,6.3,6.4,45,1,4.58,1,9,1,7.41,16,1.79,0
24,1,0,3,57,2,2.71,9.67,7.93,4.05,4.7,8.2,59,0,9.49,1,0,4,1.36,28,5.04,0
54,2,0,8,51,1,8.66,6.64,2.22,2.77,6.1,0.3,62,0,9.18,1,2,1,5.47,47,3.15,1
27,1,2,6,36,1,7.33,8.06,4.96,9.65,7.0,6.7,94,1,5.19,0,6,3,8.76,13,5.84,1
31,1,3,17,46,2,1.78,8.9,7.32,3.2,6.9,2.3,91,1,2.28,0,7,2,5.1,42,3.7,0
26,0,3,7,48,2,2.05,7.43,2.22,3.23,6.9,2.5,44,0,2.6,0,7,2,5.69,10,7.51,0
44,1,0,10,51,0,7.44,5.72,6.38,9.5,5.3,7.2,56,1,4.4,0,4,0,5.38,5,9.43,1
31,1,3,6,45,1,1.67,3.46,8.19,9.11,7.2,7.9,36,0,2.89,1,0,4,4.51,36,7.38,0
23,2,4,8,32,1,9.25,8.69,6.36,3.24,8.5,3.7,6,0,1.75,1,0,3,1.99,19,4.2,1
34,1,4,7,44,2,7.67,5.33,5.6,8.78,5.9,7.9,109,0,7.06,0,7,3,2.14,30,6.4,1
23,2,2,2,43,2,4.02,6.59,8.54,3.25,7.2,4.4,15,0,6.23,0,4,1,2.61,47,9.0,0
41,3,0,16,44,2,4.27,1.71,9.87,1.76,5.2,8.6,49,0,3.62,0,8,0,8.13,41,3.43,0
22,1,2,1,43,1,5.56,5.48,2.63,8.38,4.2,0.2,13,0,8.01,0,0,3,3.48,48,2.06,0
58,1,2,14,36,2,4.25,7.28,7.22,7.94,6.9,0.8,96,0,7.98,1,1,4,9.53,28,2.18,0
30,2,0,13,54,0,8.05,6.26,1.73,3.65,4.2,7.8,5,1,5.42,0,3,3,8.29,31,5.45,1
38,3,3,17,32,0,9.77,5.04,1.39,1.81,7.6,6.2,60,1,1.87,1,9,2,7.16,36,7.59,1
30,0,2,15,59,2,6.26,3.01,3.53,2.86,7.4,5.6,20,0,9.27,1,6,0,7.48,43,6.92,0
32,3,3,19,46,0,5.01,3.79,9.74,7.94,5.8,6.1,9,1,7.02,1,3,1,1.43,49,5.09,0
36,2,4,3,39,0,3.0,7.31,5.97,9.68,6.1,9.3,31,0,3.22,1,7,4,6.12,1,7.56,0
45,3,1,19,44,0,6.88,3.02,3.41,3.33,8.6,6.6,5,0,6.49,1,6,2,9.47,9,6.71,0
59,2,3,5,58,0,7.17,6.6,2.19,8.36,4.1,6.5,1,1,4.65,1,4,3,1.35,12,6.65,1
56,2,3,5,35,0,7.17,6.31,9.28,3.05,6.8,7.6,38,1,6.72,1,6,0,3.62,23,2.82,1
51,0,5,10,57,1,1.24,9.73,4.26,7.12,8.6,8.7,48,0,5.26,0,7,0,1.46,12,3.81,0
52,1,1,16,46,2,9.09,1.55,3.76,1.75,8.6,2.6,26,1,5.37,0,2,4,6.13,42,4.1,1
26,2,2,2,46,0,4.04,1.97,8.72,6.27,6.9,6.2,55,0,7.62,1,2,1,2.05,9,8.27,0
35,2,5,12,43,2,7.7,5.55,6.44,3.42,5.9,5.8,13,1,6.52,0,1,2,5.31,26,7.98,1
32,0,1,2,53,0,7.84,5.74,2.52,9.33,4.5,1.3,22,0,1.72,1,3,1,7.48,30,3.27,1
30,2,0,15,54,1,6.85,1.36,4.79,3.61,4.9,5.2,102,0,1.59,0,3,4,2.48,20,1.5,0
55,1,3,14,47,1,4.55,8.43,9.35,4.59,7.4,0.7,117,0,3.75,0,3,4,7.8,16,7.91,0
33,0,5,10,54,0,6.48,5.45,9.11,8.57,4.1,1.8,84,1,4.87,0,1,2,1.54,13,4.69,0
56,1,0,17,34,0,1.36,4.12,1.63,4.94,8.4,9.1,104,0,3.48,0,6,0,2.35,35,2.98,0
56,1,5,14,58,0,7.86,3.87,3.42,3.15,6.9,1.2,50,0,6.86,0,9,0,3.52,4,2.05,1
22,0,5,4,37,1,1.9,8.75,2.39,5.93,4.2,5.8,93,1,2.76,0,2,2,8.16,25,1.12,0
43,2,3,15,36,1,4.57,2.77,5.8,8.56,5.2,3.2,24,1,7.34,0,9,1,8.65,13,4.85,0
50,1,3,15,52,2,1.93,2.44,7.75,4.9,7.0,5.6,52,0,7.96,0,0,2,2.98,28,4.06,0
29,1,3,16,33,1,8.53,2.92,3.66,2.2,4.2,2.3,87,1,2.12,1,1,0,1.86,45,7.27,1
32,1,5,8,47,0,5.95,6.63,7.82,4.45,7.9,4.4,10,0,6.86,1,4,1,8.63,12,9.79,0
58,1,2,2,34,2,7.22,8.3,7.02,9.59,8.6,8.7,34,0,9.65,1,8,3,6.84,24,2.86,1
35,0,0,19,45,1,7.14,3.98,7.55,1.65,8.8,3.8,54,0,2.74,0,3,1,2.42,28,3.19,1
51,0,4,12,43,1,8.57,2.56,9.53,4.68,7.7,3.5,57,1,9.18,1,5,0,6.02,1,4.04,1
56,3,3,2,56,0,2.19,2.88,4.82,6.83,8.3,4.5,67,1,6.45,1,2,4,8.85,34,5.19,0
42,3,1,6,56,2,6.94,6.57,4.08,1.71,7.1,1.0,36,1,6.32,0,8,1,1.63,3,7.28,0
58,1,1,5,48,1,6.18,3.21,7.15,4.1,6.3,3.9,99,0,1.47,1,1,1,1.75,22,4.17,0
26,2,4,8,43,1,1.28,8.9,8.27,9.47,7.6,0.1,76,0,7.73,1,7,4,3.46,21,1.94,0
40,1,5,11,38,0,2.81,1.94,2.72,1.28,5.1,5.0,8,0,5.3,0,2,0,6.87,27,7.57,0
35,2,1,14,35,2,3.41,1.29,8.62,7.77,4.5,8.5,27,1,7.49,0,7,3,2.6,21,8.15,0
47,1,4,20,46,2,1.65,1.8,1.52,8.57,7.8,5.5,54,1,8.28,1,2,3,8.35,22,3.23,0
25,3,5,19,48,2,4.19,8.61,1.06,3.49,8.8,6.1,45,0,5.71,0,3,2,7.75,13,2.23,0
46,3,2,2,41,2,1.24,6.86,2.43,2.93,6.9,0.3,79,1,3.37,0,7,3,6.05,44,5.75,0
46,2,0,9,33,0,5.98,9.62,9.81,9.23,6.4,8.6,117,1,2.27,1,9,3,2.04,16,2.87,0
39,1,1,0,45,1,2.9,4.03,5.71,7.88,6.7,3.9,69,1,2.44,0,3,1,9.89,46,4.37,0
29,2,0,18,54,1,3.58,2.91,1.42,2.02,6.4,9.7,26,1,8.8,1,8,2,5.41,24,8.0,0
35,3,5,18,40,2,9.19,6.06,9.97,2.91,6.2,1.2,9,0,2.11,0,8,3,5.07,46,2.98,1
53,1,5,12,51,2,5.53,5.84,7.7,6.59,8.7,9.4,22,0,4.46,0,5,1,9.96,17,8.26,0
59,1,4,11,33,2,3.42,6.32,8.54,4.77,6.4,6.3,20,0,4.01,1,0,2,8.77,5,7.07,0
54,2,4,0,46,1,6.39,4.13,2.92,5.54,4.4,0.5,89,1,8.79,0,8,1,5.11,38,2.98,0
44,0,0,18,37,1,2.82,1.05,1.95,9.56,7.8,9.7,44,1,5.3,0,8,4,4.77,42,5.74,0
36,2,2,15,43,2,1.67,1.32,5.64,4.78,6.0,0.1,2,1,9.97,1,6,0,1.86,27,6.53,0
54,3,4,14,56,0,1.19,6.97,7.95,8.94,7.6,7.3,58,0,7.63,0,8,0,9.34,41,2.8,0
46,3,2,15,31,1,9.56,5.71,6.74,6.95,6.9,8.9,42,1,8.66,0,7,0,8.59,32,2.3,1
38,3,0,10,40,1,7.52,8.39,6.68,2.09,7.6,1.8,98,0,1.89,0,8,3,3.79,26,5.78,1
54,3,1,5,40,2,8.2,3.7,7.81,7.7,4.3,3.4,6,0,3.28,0,8,0,7.78,7,7.24,1
23,3,3,10,53,0,9.83,8.34,3.04,5.68,4.2,5.6,26,0,2.22,1,6,0,7.86,36,5.19,1
35,0,1,2,51,2,9.38,4.83,6.95,3.03,5.9,6.8,61,1,5.17,0,5,2,3.05,7,1.63,1
27,1,5,14,53,2,7.63,1.87,4.53,3.61,7.5,8.7,41,0,7.46,0,1,2,6.52,43,9.33,1
27,2,1,0,35,0,7.25,9.8,1.63,6.02,5.1,7.6,96,0,2.52,0,6,2,3.3,27,7.25,1
24,2,5,6,50,0,4.03,5.61,2.82,6.42,6.2,3.6,3,1,2.17,0,0,3,8.11,38,6.59,0
28,3,5,0,50,0,1.94,6.67,8.15,9.71,8.9,8.2,89,0,6.53,0,5,0,2.38,48,6.79,0
29,2,1,16,43,1,6.16,7.04,9.06,8.69,5.1,9.7,61,1,3.07,1,5,3,7.02,48,4.59,0
36,3,2,8,59,2,6.19,4.26,3.55,2.85,8.2,2.3,7,0,5.31,0,6,3,3.93,24,9.86,0
50,0,3,12,39,1,9.57,7.73,2.71,7.97,8.1,0.7,83,1,1.46,1,1,3,1.33,24,2.19,1
54,0,5,10,55,0,4.98,8.83,1.24,1.07,8.5,4.3,16,0,7.13,1,3,3,2.11,45,7.65,0
51,1,0,19,56,1,7.22,4.48,9.53,2.17,8.6,8.8,4,0,5.87,1,1,3,6.89,44,4.79,1
48,0,0,5,37,0,6.17,6.91,7.15,2.8,6.5,1.5,62,0,6.83,1,3,3,3.16,29,8.93,0
57,0,2,0,36,0,2.59,7.81,9.61,6.37,7.4,8.9,112,1,3.48,0,2,0,6.68,27,7.46,0
50,1,3,6,37,2,6.33,2.71,8.77,2.75,7.1,9.9,8,1,3.51,1,1,2,4.73,34,6.06,0
59,2,2,11,57,2,5.86,3.99,4.06,4.29,5.5,0.5,7,1,8.21,0,1,1,7.23,21,9.44,0
54,3,0,19,37,2,5.45,1.98,2.01,3.19,5.4,5.0,6,0,7.47,0,2,1,5.44,45,9.21,0
58,3,5,18,52,1,5.62,6.42,5.49,4.04,5.7,3.3,36,1,6.22,1,9,1,3.78,1,1.47,0
48,2,3,16,31,2,2.48,8.21,1.24,9.48,5.1,3.9,99,1,6.65,1,3,4,2.31,10,2.73,0
54,1,0,3,56,0,5.17,6.5,2.35,9.98,7.8,4.5,54,1,1.85,0,6,2,4.07,30,7.08,0
25,2,5,2,45,2,6.45,2.62,3.1,7.17,8.8,7.4,66,1,8.71,1,3,0,6.71,28,9.3,0
43,0,3,0,38,1,5.41,5.92,6.99,6.15,8.3,5.9,7,0,7.93,0,6,3,7.66,42,4.87,0
23,1,5,17,42,2,5.4,8.51,5.59,7.38,5.1,9.6,68,0,6.31,1,3,1,2.44,30,1.34,0
31,1,5,20,52,2,1.7,3.72,3.72,7.94,4.3,3.3,4,0,9.27,0,2,2,6.98,28,6.79,0
26,1,5,14,41,2,2.72,8.49,6.08,7.65,7.8,5.4,16,0,2.52,0,7,0,2.61,29,2.75,0
31,3,3,7,56,1,3.89,8.06,2.13,1.74,6.0,8.1,110,0,7.18,1,2,1,3.0,31,5.97,0
54,2,1,0,51,0,4.77,1.2,7.8,3.79,8.1,3.7,57,0,9.67,1,7,2,5.78,43,4.46,0
59,1,0,19,54,0,6.35,3.16,7.41,4.09,7.9,4.7,62,1,3.79,1,1,0,3.6,41,6.02,0
34,1,4,13,58,0,8.77,5.89,2.95,4.32,7.1,6.8,26,0,1.14,1,2,2,6.95,4,9.39,1
52,1,4,3,46,2,2.43,7.46,6.46,4.1,5.3,8.6,103,1,7.61,0,3,3,9.6,49,5.37,0
57,2,0,4,56,2,1.14,8.92,5.53,8.08,4.5,4.2,102,0,1.06,1,2,2,2.34,19,1.31,0
45,3,5,12,31,1,5.04,6.77,1.55,7.73,5.3,5.3,112,1,8.85,0,5,2,6.13,10,6.23,0
36,0,3,14,42,0,4.89,4.42,3.5,1.04,6.5,9.8,75,0,1.51,0,8,4,9.31,45,3.93,0
50,3,2,5,30,2,5.97,2.66,10.0,3.67,8.9,0.4,91,0,6.87,0,9,3,2.59,31,8.0,0
29,1,0,0,55,2,8.5,7.84,1.9,6.61,4.3,4.5,67,0,4.39,0,7,2,4.3,34,5.23,1
26,3,2,18,57,2,8.22,2.86,5.56,2.08,5.0,6.4,115,0,2.83,1,3,3,2.11,41,7.67,1
50,3,1,12,48,1,1.9,7.26,8.64,1.64,7.1,0.1,27,1,9.08,1,1,2,6.78,39,9.18,0
25,0,3,5,40,0,9.41,2.63,3.71,8.46,5.5,6.0,88,1,7.72,0,9,3,7.02,42,4.26,1
33,2,2,14,34,1,1.99,1.82,3.35,5.07,8.3,0.6,57,0,4.06,0,0,0,6.98,44,9.9,0
23,2,0,15,30,0,6.71,3.26,9.02,8.7,4.7,8.6,49,0,3.56,1,3,1,5.88,31,2.35,0
48,3,1,15,49,0,7.05,3.56,3.74,8.41,8.8,8.1,99,1,7.62,1,4,4,7.72,11,6.8,1
52,3,4,9,59,2,7.12,6.82,6.86,9.04,8.6,0.3,105,0,8.53,0,1,1,1.32,36,1.31,1
57,2,3,8,42,2,3.39,2.45,7.66,1.43,8.4,0.5,66,0,7.44,0,2,2,9.62,44,2.92,0
57,2,3,8,37,2,3.97,9.37,8.1,2.68,4.9,7.5,30,1,6.76,0,3,2,3.0,44,6.7,0
47,0,0,16,35,2,5.94,5.99,9.95,3.67,5.6,3.7,100,1,3.05,1,2,0,2.09,32,1.42,0
48,1,0,16,58,2,2.8,5.42,8.23,2.23,8.0,5.8,11,1,8.68,1,7,2,9.47,23,1.92,0
26,3,0,16,46,0,1.18,4.91,6.91,5.37,8.0,2.7,54,1,7.75,1,1,3,8.47,40,3.62,0
41,2,4,11,41,2,6.06,6.1,9.06,8.19,7.5,1.7,100,0,5.66,0,8,1,7.88,46,6.18,0
32,3,5,12,30,2,5.19,1.2,9.15,9.56,6.2,3.0,100,0,5.6,1,5,2,1.94,39,1.14,0
31,3,2,11,32,1,6.91,9.91,9.76,9.01,5.6,2.5,3,0,6.12,0,0,0,8.27,3,5.34,0
59,2,1,13,43,1,2.32,6.02,7.99,5.12,8.8,4.5,93,0,8.45,1,7,4,6.48,28,6.63,0
27,0,1,9,55,0,8.57,1.32,2.75,6.73,4.7,7.5,101,1,7.68,0,9,1,7.59,25,4.62,1
29,3,5,18,37,0,2.32,6.31,7.39,3.08,4.2,5.5,41,0,8.71,1,5,0,9.8,28,1.61,0
44,0,4,1,40,1,9.02,4.93,1.68,4.63,4.0,6.1,101,0,5.57,0,3,0,2.75,19,6.5,1
47,2,2,3,56,1,5.05,1.22,3.86,8.84,7.9,4.7,90,1,6.62,0,5,1,5.54,46,6.45,0
33,1,0,18,43,2,5.95,9.32,2.04,1.26,4.3,3.2,53,0,8.69,0,1,0,7.78,19,5.55,0
47,1,1,6,37,2,9.07,1.1,9.55,5.79,6.7,1.4,21,1,3.09,1,0,4,4.9,42,7.24,1
34,3,4,14,58,0,3.7,6.2,4.05,8.86,5.8,3.5,0,1,5.0,1,5,4,1.49,44,2.87,0
39,2,4,14,32,1,2.64,9.66,7.42,2.1,4.7,6.7,47,1,6.59,0,7,2,2.0,29,7.11,0
46,0,5,5,36,0,5.01,3.14,6.14,9.84,7.7,7.3,42,1,9.24,0,4,3,6.42,19,2.45,0
54,3,2,2,57,2,3.2,3.29,1.97,1.11,4.3,4.7,101,1,1.14,0,7,2,3.57,18,4.53,0
33,2,4,5,48,0,5.75,1.0,6.05,8.98,5.6,6.4,19,0,2.91,0,2,3,2.24,45,1.61,0
57,2,1,15,33,0,3.48,1.6,6.95,4.18,6.8,2.1,17,0,3.11,0,5,1,4.06,49,8.37,0
25,0,0,1,54,0,8.78,1.4,8.93,2.19,6.0,8.6,69,0,3.94,0,0,0,2.81,24,5.84,1
26,3,1,6,45,2,6.47,8.4,1.63,2.42,5.3,8.7,48,1,3.54,0,2,2,1.22,38,9.74,0
58,2,0,10,42,0,1.0,8.53,3.66,7.31,8.6,3.2,75,1,6.31,0,3,0,2.37,16,9.48,0
29,2,5,6,49,2,8.25,7.54,7.23,8.84,8.7,5.5,16,0,8.97,0,4,2,8.95,18,9.99,1
49,2,4,3,48,1,3.97,4.17,1.31,6.77,6.1,6.1,52,1,6.73,1,2,2,1.11,41,1.91,0
52,0,2,19,34,0,3.88,8.39,2.83,9.36,6.0,4.7,21,1,3.17,0,7,4,7.96,13,6.46,0
30,3,4,6,52,0,4.45,5.86,2.97,8.58,5.5,9.1,81,1,8.77,0,4,3,7.78,4,4.67,0
50,3,5,3,34,2,6.67,3.74,7.02,1.08,8.3,7.4,9,0,6.69,0,6,1,6.08,13,5.79,0
35,3,2,11,49,0,4.98,4.94,3.57,7.02,6.8,6.7,23,1,2.97,0,4,0,2.88,35,3.78,0
43,3,2,4,53,2,6.66,1.59,6.4,3.74,4.4,5.2,83,1,4.25,1,7,2,8.9,4,1.43,0
32,1,2,18,33,0,2.32,9.5,9.69,5.09,8.3,0.8,11,1,8.11,0,0,0,5.28,19,7.37,0
44,1,4,4,31,1,9.73,6.57,8.14,1.85,6.7,1.1,3,0,7.65,0,2,4,2.56,24,9.69,1
22,3,5,18,55,1,7.57,7.58,4.0,3.54,6.1,3.0,41,1,6.19,0,2,1,4.86,33,5.79,1
58,0,3,20,42,1,3.25,7.09,5.25,6.69,5.7,2.1,4,0,2.3,0,9,3,2.75,33,3.97,0
42,1,0,2,59,0,7.52,7.01,2.81,2.97,4.5,9.5,25,1,8.23,0,9,3,4.38,9,9.44,1
47,2,5,10,45,0,6.18,1.16,1.14,6.83,8.8,4.1,99,1,3.77,1,2,2,5.47,3,4.28,0
57,1,1,6,51,1,1.98,5.73,3.61,9.31,7.7,8.8,58,0,7.94,0,5,1,4.24,3,9.23,0
44,2,2,16,31,1,2.6,8.4,4.32,1.04,4.7,8.2,61,0,6.83,0,8,3,6.91,30,8.7,0
22,3,1,8,48,2,1.37,1.4,6.08,8.07,6.6,8.1,79,0,3.38,0,5,1,9.42,18,5.76,0
36,1,5,20,46,2,8.28,9.61,9.5,6.77,6.8,2.2,4,1,2.91,1,4,0,4.13,2,7.09,1
42,0,1,8,34,1,5.97,4.82,9.53,1.42,4.8,4.5,25,0,2.18,1,0,4,4.2,32,7.3,0
30,1,4,9,54,1,3.85,3.61,1.63,8.11,6.1,3.2,82,0,3.18,1,1,1,7.64,43,6.77,0
30,1,5,12,47,0,2.14,5.79,6.53,3.02,7.2,9.7,119,0,2.42,1,0,1,5.78,9,2.45,0
31,1,2,14,57,1,5.36,8.21,1.38,3.39,5.4,8.8,5,1,6.55,0,5,3,4.86,2,7.23,0
47,3,4,4,52,2,5.73,5.27,6.83,1.84,5.7,2.5,23,0,6.39,0,2,2,8.32,20,1.03,0
56,0,4,2,50,2,7.32,6.81,2.06,5.81,4.6,3.1,94,1,6.28,1,4,2,9.02,27,7.39,1
46,1,0,7,47,2,9.73,5.5,9.52,5.48,6.1,5.3,94,1,6.78,1,5,0,6.32,36,5.99,1
47,0,5,19,37,2,4.91,6.68,8.78,4.12,6.9,2.8,52,1,8.33,0,4,3,2.67,41,3.34,0
32,3,4,9,56,2,4.65,2.24,1.2,2.52,4.6,8.2,6,0,9.22,1,2,3,5.2,46,8.23,0
59,2,2,12,44,2,4.33,1.35,8.04,8.54,7.1,8.2,9,0,3.07,0,1,4,5.54,19,4.65,0
23,1,5,2,42,1,8.44,2.23,6.72,8.89,6.0,7.2,38,0,6.29,1,1,2,4.89,16,5.37,1
28,0,4,7,42,2,2.41,3.57,5.46,5.87,7.4,6.9,85,0,1.71,1,1,3,3.36,26,1.25,0
39,0,2,8,45,2,4.09,3.28,6.42,3.2,5.6,5.5,77,1,2.08,1,9,0,5.25,14,4.61,0
48,3,3,20,51,2,7.52,6.54,7.1,1.86,6.8,3.5,27,0,6.89,1,3,4,5.02,47,2.51,1
55,1,0,11,49,2,1.14,5.1,8.96,8.82,7.1,8.4,41,0,5.38,1,3,2,2.89,18,3.49,0
